C1,C2,C3,C4,C5,C6,C7,C8
3126.289820687474,-725.3978804056042,-101479.22730140478,-1647.5362546033195,3886.404208900315,-78717.72128241164,-117598.97128319892,-11442.923199196592
901.9851561834612,-624.7121710247943,-22233.11844857305,-918.2929159818927,1214.2020257830188,-17706.1167971154,-25645.324235893902,-2452.85418420123
-557.4073544979494,-244.18206281692028,24760.60965096575,-100.3561565640794,-640.2947765396453,18775.177898108403,28805.12070072745,2890.2609993015644
-1578.2700515380668,540.0637352229747,48140.27717774676,995.7416711727993,-1985.3645463270668,37544.22410201874,55733.90930301194,5372.282284605668
-1862.9811315158718,800.9633207656175,53841.8145417399,1341.5125918101696,-2395.1478008054373,42175.28009061389,62284.94236902633,6000.41302452113
-1658.4716371475588,695.7012650463711,48080.702731941186,1200.1376455534148,-2097.6224197188794,37679.18289748782,55619.664650434344,5328.387065396309
-1196.9532293063025,471.72501108344767,35810.653116196634,845.0214501475513,-1543.8646641361997,27995.590589976142,41445.60402653838,4034.052292989634
-761.8942509363332,386.34829152242673,21159.230812893664,633.8324022376077,-997.5640989770382,16654.789242063554,24462.464247966578,2354.5355450428538
-228.48706371153048,168.79456856517913,6416.678578303936,273.8216340016076,-319.6374482222683,5092.181466014721,7407.0517922809195,746.3003732561151
130.2958540164062,57.033451679020025,-6313.105744749218,14.700669584467795,156.1998115949599,-4800.566704277949,-7341.626386358556,-764.7004411719828
554.5170907629156,-229.41492181893213,-16353.762308426012,-381.4261318799058,723.6929681923884,-12816.38718475182,-18920.367387083938,-1823.8538388978607
737.6399674593144,-243.61256835049002,-22702.957834149223,-442.71361946179104,931.1897756968126,-17695.197771537823,-26285.839538284363,-2532.6428037175615
888.9148198639122,-352.5141121589299,-25849.96178972748,-587.5767330215564,1136.4193099748052,-20225.953251944986,-29912.672371074637,-2867.622024056869
845.9856506323658,-288.26733704491096,-25836.46319285716,-522.3242259268847,1070.6321633141613,-20127.805500659724,-29917.04434157354,-2896.8930950766035
835.394470073622,-407.38077993257366,-23720.08747956781,-658.7473121731294,1079.5510305972127,-18642.42028404569,-27426.78581107672,-2644.2448668635307
644.0974810003362,-260.7348826744651,-19596.276475869334,-474.69923418190024,805.7518872939772,-15328.941255964304,-22673.431220189388,-2177.6457687320153
496.44414481717354,-238.05599743890224,-14594.608955654292,-411.7392270393578,646.8777512856365,-11468.508400418737,-16875.452131618054,-1634.275547378093
300.4370236297841,-83.46002194371407,-9063.46322616134,-180.06776183986904,382.66440827895076,-7036.557469462308,-10499.339035232895,-1004.5666662371651
199.5261543614051,-145.4185586219615,-3996.2283814857838,-204.4798882448088,277.74661891748343,-3212.0407914382117,-4601.941802249746,-427.8988262181144
-11.927793572963903,-0.47466500763184893,703.2164330320279,-13.655998854563085,-38.632537354997,531.4575174905315,821.8329222280414,104.36136577783265
-122.39016526640316,33.31107193236332,4437.554629319224,53.03918420213934,-152.4089416230025,3431.6943956090167,5144.003401165683,495.51327439888433
-299.7618433666763,174.48812249216695,7271.918122859034,209.79002387878973,-402.8230235652539,5746.429613303609,8397.53251290941,769.8958755725143
-294.5845713497718,89.31611830849857,8813.50908341634,135.04107311379894,-341.0877965603383,6859.607144423284,10203.243934574606,929.4419307450381
-309.6814587187068,108.77125350324039,9462.627768429707,186.525500281427,-411.91773523229534,7375.169207522048,10954.962236556199,1077.5114381194874
-331.8590232292635,120.16689525523265,9292.183938557524,204.07689125583536,-415.1103623138602,7260.812428436077,10750.984488129958,1003.3789430251321
-298.68946609669257,140.37098611002816,8475.345159291714,255.47412449103018,-391.9468513863274,6670.3476183947805,9791.634979195434,957.4788032759382
-251.69668460395704,83.60491029580648,7074.865551790753,170.55175034435175,-297.01525575935625,5543.8722448948865,8178.922298697373,746.9604001698241
-151.80922441832257,19.305639835252727,5359.359886285708,99.19984455210727,-197.70020523117665,4146.491426842601,6210.452024494448,644.1381231339102
-118.41199417851486,53.42444233681776,3692.3207138376456,117.923101403514,-146.95385361285838,2902.2269937359247,4270.539135882221,422.34960182117294
-80.7060563379098,59.1058491390779,2048.2238630617253,97.32382778900265,-112.51967886307011,1625.8299473890252,2366.0702412596575,247.93560056092693
-18.360353621602997,36.37541667590647,593.7850796856444,69.11372566281287,-0.586574526130693,513.0080921080198,679.2751194999287,48.564668046186
56.96787830190668,-57.10917464055856,-762.3160887700703,-63.21623478474996,67.99227021004579,-656.9165039315873,-861.1463040836735,-53.50198402785247
61.63842922671818,0.55230734518852,-1571.2224779862224,9.655068353411703,72.12694503507727,-1202.3772896454636,-1819.2112619012544,-162.55149855617861
78.71014924082328,-23.57580203890462,-2191.036772610953,-34.39720355181501,85.42570715434793,-1718.6950830149856,-2533.4278863901377,-230.2839363719229
70.39300097105098,13.628202862028413,-2404.9918430285957,8.826770338441195,93.6856608496037,-1813.6127636292053,-2799.0207151074555,-283.1414521973412
120.35740083948794,-107.70826170806009,-2621.390707690902,-149.73419039559576,156.6959319098708,-2131.3118398370134,-3012.56594016612,-273.8610472267349
79.72807868192304,-19.032033549433148,-2332.368753955384,-36.644319985457095,85.42658388655153,-1801.538005273557,-2700.00831752189,-240.68546216363325
82.5502455414244,-46.26427857065361,-2046.5712156397487,-74.65669554127011,95.5507404262267,-1628.0411775757973,-2359.5958135358064,-209.61194068536918
-23.16610863004726,63.9571544336417,-1482.2788898821764,31.02688621807807,-42.285026422364375,-1075.5848534194506,-1734.6714237968013,-224.08028898300014
54.812527332479476,-79.74542925366362,-1197.7341881722043,-122.23173009953594,91.8676153812444,-1011.7895591349284,-1367.570187447891,-149.2259962361669
-25.040737480222123,30.276505421755928,-634.0313090512589,-7.93978600697198,-50.98826679787179,-474.312447727459,-736.5196326784136,-87.944411619639
-8.279622999561417,-7.3326427684600874,-252.10719853474922,-46.30220269030422,7.65062020381423,-222.19788379627593,-287.2080548042434,-56.09229976480626
-35.80340486710221,72.64404100993485,222.17800075840665,68.11210603574139,-47.844087509616685,253.96073117451476,236.10258422325785,15.00308234763758
8.980150943449068,-54.6842242406967,333.36927908697965,-76.73558612222469,47.314336157902815,203.9008614107843,397.28325664263684,14.216599962710296
-1.7580625528568612,-5.73091663914825,567.4371178806426,9.959394079006504,-15.87337900207049,439.7623240000464,657.2593592918817,104.99792974296905
-11.427684214198237,-22.62674267889792,655.0316499654961,-4.87063720982663,1.7033728943725963,487.1877889392472,761.310610209557,68.47830171686347
-25.964578889268605,44.2068419434067,775.5417966773423,93.71075522213282,-47.30948739171361,663.3508593703128,879.882654080231,113.34410652034387
11.032425625481384,-44.64626384159136,629.7861985854211,-18.14875817157121,41.790486222100725,460.3744806673989,733.8601661946135,60.54856034455178
34.38088664201258,-32.736643751083506,528.4687700205125,4.679118377169606,18.225571308599378,382.21735122291915,620.2031777469665,134.4836611886161
16.333113994709226,-3.8685153510623014,444.3365569905883,16.71816791008845,8.539665799548553,336.65210934350233,516.8924628092016,64.95584703654433
-36.365610813433584,69.44761711084605,385.12794113372325,69.0998818567364,-83.27325195287115,342.1340702484054,433.58179267911754,48.02293903399208
-18.026209111343938,21.679328129902157,222.91744794878826,7.8471022755013085,-2.007283879333861,186.39011349828994,252.84088551676732,-26.06008459502923
-4.992758627924861,-6.477617528785313,24.157916493374184,-40.26818330588764,-20.98330635290029,-27.29383174163323,37.90445926290429,12.109830536359981
-16.021724176247943,22.60413297492492,-2.9045193823055024,20.414263617944467,-6.3032347946087075,12.772785800817,-5.754082329473543,-17.194447267074935
-8.033846288667732,27.15132888300215,-73.06209101980477,29.410301744761558,-17.594464584690126,-40.51619692608915,-89.54628591870016,7.635891995638649
-18.840589262277156,25.534328722594488,-89.99797235072668,37.5976091471811,-4.3664474051369355,-22.432161165030134,-114.37894185988306,-42.55822994776008
